User_ID,Age_Group,Gender,Show_ID,Title,Genre,Viewing_Duration,Completion_Status,Rating,Device,Number_of_Views,Skip_Scenes,Watchlist,Re-watched,Viewing_Session_Length,Co-viewing,Likes,Shares,Comments,Watch_Time_Of_Day,Region,Month,Day_of_Week,Release_Year,Director,Cast
1,18-24,Undisclosed,13,Show_13,Fantasy,41,Completed,2.0,TV,3,No,Yes,No,77,Alone,Yes,No,Yourself change fill red make none owner doctor. Popular after eight lose American spring against.,Evening,Africa,April,Sunday,2020,George Griffith,"Jeremy Green, Deborah Simmons, Ann Hawkins"
1,18-24,Undisclosed,20,Show_20,Action,55,Midway,1.0,Mobile,2,No,Yes,Yes,50,With Friends,No,No,Too case alone. Off yet effort candidate popular we up Republican. Glass more around simply enter.,Morning,Africa,August,Friday,2005,Stefanie Mejia,"Leonard Elliott, Christopher Harvey, Matthew Decker"
1,18-24,Undisclosed,69,Show_69,Comedy,21,Completed,2.0,Mobile,4,Yes,No,Yes,93,With Friends,Yes,No,Magazine national difficult behavior age. Fill letter administration car left hit.,Evening,Africa,February,Friday,2017,Joseph Wood,"Ronald Moore, Shawn Walls, Michael Chung, Casey Drake, Jennifer Leblanc"
1,18-24,Undisclosed,70,Show_70,Action,52,Completed,4.0,Mobile,1,No,No,,115,Alone,No,No,Structure a huge. Half name beyond understand few career road. Finish boy statement just town open.,Evening,Africa,April,Saturday,2023,Oscar Ponce,"Tim Montgomery, Trevor Romero, Sally Murphy"
1,18-24,Undisclosed,85,Show_85,Thriller,60,Completed,5.0,Tablet,3,Yes,Yes,,89,With Friends,Yes,Yes,Send seem member go whom another. Answer usually once book laugh hot choice. The it hot public.,Night,Africa,November,Tuesday,2022,Erin Braun,"Stuart Stewart, Cristina Lawrence, John Walker, Kristin Shields, Hector Alvarez"
1,18-24,Undisclosed,18,Show_18,Comedy,24,Midway,1.0,Mobile,2,Yes,Yes,Yes,60,With Friends,No,Yes,Animal happy once action and morning. Nation few only adult society hear indeed.,Evening,Africa,January,Sunday,2008,Haley Boyd,"Victoria Butler, Willie Ramirez MD, Nancy Shaffer, Daisy Shaw"
1,18-24,Undisclosed,83,Show_83,Action,32,Midway,3.0,TV,3,No,Yes,,75,With Friends,No,Yes,Fund our community modern rule. Total administration establish receive stage.,Evening,Africa,March,Thursday,2003,April Edwards,"Christopher Perez, Kenneth Dominguez, Brooke Sanders, Darrell Flores, Lauren Obrien"
1,18-24,Undisclosed,89,Show_89,Sci-Fi,51,Midway,5.0,Mobile,1,No,Yes,,97,Alone,No,Yes,Center answer plan without subject. Machine nation because guy.,Morning,Africa,February,Wednesday,2005,Timothy Sullivan,"Nicholas Huber, Daniel Ryan, Bryan Vaughn, Jennifer Davis"
1,18-24,Undisclosed,85,Show_85,Thriller,38,Midway,4.0,Tablet,4,Yes,No,,77,Alone,No,Yes,Scene teacher allow stay air product. Federal yard number story sense they concern.,Evening,Africa,November,Sunday,2022,Erin Braun,"Stuart Stewart, Cristina Lawrence, John Walker, Kristin Shields, Hector Alvarez"
1,18-24,Undisclosed,8,Show_8,Thriller,24,Midway,3.0,Tablet,2,Yes,Yes,No,24,Alone,Yes,No,,Evening,Africa,June,Thursday,2016,Mrs. Sarah Ramirez,"Catherine Watts, Nicole Horne, Virginia Hill, Amy Zimmerman"
1,18-24,Undisclosed,73,Show_73,Fantasy,22,Completed,4.0,Mobile,3,No,Yes,,87,With Friends,No,Yes,"Job senior resource short. Range project call party officer guy find.
City our skill.",Evening,Africa,April,Monday,2018,Jason Diaz,"Charles Anderson, Jose Edwards, Alexander Bass, Heather Jones"
1,18-24,Undisclosed,4,Show_4,Drama,31,Midway,5.0,Mobile,5,Yes,No,,110,With Friends,Yes,Yes,Catch test interesting turn. Letter middle position lead.,Night,Africa,April,Monday,2016,Ana Smith,"Roger Carrillo, Marcus Donovan, James Hernandez, Andre Grant"
1,18-24,Undisclosed,18,Show_18,Comedy,24,Midway,2.0,Tablet,4,Yes,No,,110,Alone,No,Yes,Sense build land great. You glass surface read. Free commercial nice.,Afternoon,Africa,December,Saturday,2008,Haley Boyd,"Victoria Butler, Willie Ramirez MD, Nancy Shaffer, Daisy Shaw"
1,18-24,Undisclosed,90,Show_90,Drama,60,Completed,3.0,Tablet,2,Yes,Yes,,50,With Friends,Yes,Yes,White politics need home modern community maintain arm. Win finish author ready wear.,Evening,Africa,August,Sunday,2001,Eric Brown,"Miguel Wilkins, Danielle Roberts"
1,18-24,Undisclosed,71,Show_71,Fantasy,28,Completed,1.0,Mobile,4,No,No,No,93,Alone,Yes,Yes,May interesting detail enjoy. Imagine way around partner.,Morning,Africa,August,Thursday,2001,Erica Benjamin,"Norma Watkins, Kayla Knapp, Brooke Wilson"
1,18-24,Undisclosed,88,Show_88,Fantasy,53,Midway,2.0,Tablet,5,Yes,Yes,No,84,Alone,Yes,No,Determine always east person military difference watch. Name value cell.,Evening,Africa,March,Tuesday,2020,James Hill,"Larry Schultz, Ann Morris, Tracy Hayes, John Aguilar, Ashley Davis"
1,18-24,Undisclosed,42,Show_42,Drama,34,Midway,5.0,Mobile,1,No,Yes,,36,With Friends,Yes,No,Offer number relate upon. Reason heavy consider people turn project.,Afternoon,Africa,March,Saturday,2002,Jay Saunders,"Elizabeth Baker, Paul Robertson"
1,18-24,Undisclosed,80,Show_80,Sci-Fi,58,Midway,5.0,TV,1,Yes,Yes,No,103,Alone,No,No,Season want consumer nothing who.,Night,Africa,November,Friday,2004,Mary Garcia,"Crystal Fisher, Krista Mcfarland"
1,18-24,Undisclosed,38,Show_38,Sci-Fi,39,Midway,2.0,Tablet,4,No,No,,108,Alone,Yes,Yes,Half rather reduce else. Event fly win wonder interview election. Against who likely order include.,Night,Africa,August,Thursday,2020,John Willis,"Nicole Potter, Sarah Morales, Jeffrey Baker"
1,18-24,Undisclosed,27,Show_27,Thriller,41,Completed,3.0,Tablet,3,No,No,,117,With Friends,Yes,Yes,End play man key ahead.,Afternoon,Africa,August,Monday,2015,Matthew Bright,"Justin Ortiz, Mathew Stanley, Stephanie Butler, Charles Thomas, Richard Tanner"
1,18-24,Undisclosed,35,Show_35,Fantasy,48,Completed,2.0,TV,1,No,No,,51,Alone,No,Yes,Away nice head. Structure couple person heart director. Action notice talk ahead.,Afternoon,Africa,March,Thursday,2020,Sandra Gonzales,"Denise Stokes, Suzanne Young, Christopher Ruiz, Dr. David Randolph, Paul Herrera"
1,18-24,Undisclosed,66,Show_66,Sci-Fi,49,Midway,3.0,Mobile,1,Yes,No,No,50,Alone,No,No,Best ready chair particularly. People develop total onto.,Morning,Africa,May,Thursday,2012,Krystal Ferguson,"Oscar Waller, Dominic Thompson, Kathryn Watson, Kristen Alexander, David Young"
1,18-24,Undisclosed,77,Show_77,Comedy,50,Midway,5.0,TV,1,No,Yes,,113,With Friends,No,Yes,,Morning,Africa,July,Monday,2019,Jared Herrera,"Joseph Cox, Amanda Bowman"
1,18-24,Undisclosed,73,Show_73,Fantasy,55,Completed,3.0,Tablet,3,Yes,No,No,117,With Friends,Yes,No,"Property red art. Into how section wife most left kid.
Number option coach seven.",Morning,Africa,July,Wednesday,2018,Jason Diaz,"Charles Anderson, Jose Edwards, Alexander Bass, Heather Jones"
1,18-24,Undisclosed,44,Show_44,Comedy,55,Midway,2.0,TV,5,No,Yes,,24,Alone,No,Yes,Scene citizen theory job point. Show ask report idea through attack arm.,Night,Africa,March,Friday,2014,Brooke Curtis,"Patricia Murphy, Aaron Duke, Tracy Taylor, Tanya Dyer"
1,18-24,Undisclosed,66,Show_66,Sci-Fi,28,Midway,5.0,Mobile,2,No,No,,84,With Friends,No,Yes,Mention couple more. Life we audience activity organization.,Morning,Africa,June,Wednesday,2012,Krystal Ferguson,"Oscar Waller, Dominic Thompson, Kathryn Watson, Kristen Alexander, David Young"
1,18-24,Undisclosed,87,Show_87,Sci-Fi,27,Midway,5.0,Mobile,1,No,No,Yes,112,Alone,No,No,Public visit dog news attention. Body who once again myself gas other.,Night,Africa,March,Sunday,2016,Marc Vargas,"Daniel Mccullough, John Wilson, Alicia Williamson"
1,18-24,Undisclosed,88,Show_88,Fantasy,35,Completed,5.0,Tablet,1,Yes,Yes,,60,With Friends,Yes,Yes,Read happy show serve movie every. For rate American if he other. Team phone lot tonight down.,Afternoon,Africa,July,Friday,2020,James Hill,"Larry Schultz, Ann Morris, Tracy Hayes, John Aguilar, Ashley Davis"
1,18-24,Undisclosed,100,Show_100,Drama,59,Midway,1.0,Tablet,2,Yes,No,,87,With Friends,No,No,Black who such white seat. Notice stop west others step. Star lead note second.,Night,Africa,September,Wednesday,2011,Jennifer Reed,"Angie Brooks, Valerie Davidson"
1,18-24,Undisclosed,70,Show_70,Action,42,Midway,,Mobile,2,Yes,No,,48,With Friends,No,No,Skill choice page degree or. Of will city. Detail back mouth environmental.,Night,Africa,June,Thursday,2023,Oscar Ponce,"Tim Montgomery, Trevor Romero, Sally Murphy"
2,18-24,Male,72,Show_72,Action,37,Midway,1.0,Tablet,5,No,No,No,118,Alone,No,No,"Establish century sign.
Woman daughter less civil.",Evening,South America,December,Monday,2014,Jared Roy,"William Greene, Erica Carpenter, Anthony Wilson"
2,18-24,Male,45,Show_45,Comedy,48,Midway,4.0,TV,2,No,No,,33,Alone,Yes,No,Still fight pressure. Able career public resource physical south side.,Afternoon,South America,November,Tuesday,2020,Brian White,"Gregory Smith, Debra Brown, Carrie Anderson"
2,18-24,Male,7,Show_7,Sci-Fi,26,Midway,3.0,Tablet,4,Yes,Yes,,90,Alone,No,Yes,,Night,South America,November,Tuesday,2016,James Raymond,"Elizabeth Ward, Jill Sutton"
2,18-24,Male,97,Show_97,Comedy,38,Midway,3.0,Tablet,1,Yes,Yes,,42,With Friends,Yes,No,Law out whose share rate will second relationship. Staff hard become structure various room those.,Night,South America,August,Tuesday,2019,Michael Wolf,"Robin Carter, Margaret Johnson"
2,18-24,Male,96,Show_96,Fantasy,38,Completed,,Mobile,5,Yes,No,,78,With Friends,Yes,Yes,Country one factor stop. Word bring picture thought thought year say. Design many them standard.,Evening,South America,April,Sunday,2016,Calvin Patel,"Kimberly Robinson, Stephanie Smith, Courtney Stevenson, Roberta Gilbert, Mr. Jason Moss"
2,18-24,Male,15,Show_15,Action,41,Completed,4.0,Tablet,3,Yes,Yes,,57,Alone,Yes,Yes,Consider whole money guess more. Establish real few run idea them civil protect.,Night,South America,September,Wednesday,2007,Thomas Carter,"Courtney Norton, Jason Smith"
2,18-24,Male,12,Show_12,Thriller,45,Completed,2.0,TV,4,No,Yes,,53,With Friends,Yes,Yes,Southern store while week health old. Simply interview far goal.,Evening,South America,June,Wednesday,2023,Elizabeth Crawford,"Julie Daniels, Rebecca James, Jenna Banks, Amanda Franco"
2,18-24,Male,75,Show_75,Thriller,56,Completed,3.0,Tablet,3,Yes,Yes,,79,With Friends,Yes,Yes,Despite last charge instead.,Evening,South America,December,Monday,2006,Crystal Vazquez,"Randy Garcia DDS, Chris Murray, Kristin Baker, Timothy Lozano, Kelly Stephens"
2,18-24,Male,82,Show_82,Drama,38,Midway,5.0,TV,2,Yes,No,,78,With Friends,No,Yes,Music night standard foot.,Afternoon,South America,April,Saturday,2014,James Lyons,"Ana Clay, Tamara Morgan, Elizabeth Dodson, Daniel Brooks"
2,18-24,Male,97,Show_97,Comedy,58,Completed,5.0,Mobile,5,No,Yes,,27,Alone,Yes,No,Change community cut specific mother.,Evening,South America,September,Thursday,2019,Michael Wolf,"Robin Carter, Margaret Johnson"
